iter	Passed	Remaining
0	150	150661
1	155	77352
2	160	53293
3	167	41790
4	172	34308
5	182	30163
6	184	26199
7	187	23209
8	191	21077
9	193	19155
10	195	17562
11	196	16210
12	198	15077
13	200	14090
14	202	13307
15	204	12565
16	205	11876
17	206	11263
18	208	10745
19	209	10244
20	210	9790
21	210	9377
22	213	9052
23	214	8729
24	215	8410
25	217	8133
26	218	7858
27	219	7602
28	219	7364
29	221	7154
30	222	6946
31	223	6756
32	225	6603
33	227	6457
34	228	6293
35	229	6137
36	230	6001
37	231	5860
38	232	5726
39	233	5600
40	234	5489
41	235	5381
42	237	5295
43	239	5202
44	240	5100
45	241	5004
46	242	4910
47	243	4833
48	244	4749
49	245	4668
50	246	4593
51	248	4525
52	249	4460
53	251	4401
54	252	4333
55	253	4266
56	254	4202
57	255	4149
58	256	4093
59	257	4035
60	258	3984
61	260	3936
62	261	3891
63	263	3848
64	264	3798
65	265	3750
66	265	3702
67	266	3656
68	267	3615
69	268	3572
70	269	3530
71	271	3498
72	273	3468
73	275	3443
74	276	3405
75	277	3368
76	277	3331
77	279	3298
78	280	3268
79	281	3235
80	282	3201
81	283	3173
82	285	3149
83	286	3126
84	287	3096
85	288	3067
86	289	3036
87	290	3007
88	291	2987
89	292	2960
90	293	2933
91	295	2911
92	296	2891
93	298	2876
94	300	2859
95	301	2835
96	301	2811
97	303	2792
98	304	2770
99	305	2748
100	306	2726
101	307	2703
102	308	2684
103	309	2669
104	312	2659
105	313	2639
106	313	2619
107	315	2604
108	316	2585
109	317	2567
110	318	2548
111	319	2534
112	320	2517
113	322	2504
114	324	2495
115	325	2477
116	326	2460
117	327	2447
118	328	2430
119	329	2414
120	330	2398
121	331	2385
122	331	2367
123	333	2353
124	335	2346
125	336	2335
126	337	2323
127	338	2308
128	340	2300
129	341	2287
130	342	2273
131	344	2262
132	345	2251
133	346	2240
134	348	2231
135	349	2218
136	350	2206
137	350	2192
138	352	2182
139	353	2169
140	354	2157
141	355	2145
142	356	2137
143	358	2129
144	360	2126
145	361	2114
146	362	2102
147	363	2091
148	364	2083
149	365	2072
150	366	2061
151	367	2050
152	369	2043
153	370	2035
154	372	2029
155	373	2022
156	374	2012
157	375	2001
158	376	1991
159	377	1984
160	378	1974
161	379	1965
162	381	1959
163	383	1956
164	385	1949
165	386	1940
166	387	1930
167	388	1923
168	389	1914
169	390	1905
170	391	1896
171	392	1887
172	394	1885
173	396	1882
174	398	1876
175	399	1868
176	399	1859
177	400	1851
178	402	1844
179	403	1836
180	403	1826
181	404	1817
182	406	1815
183	408	1811
184	409	1805
185	410	1798
186	411	1790
187	412	1782
188	414	1776
189	415	1769
190	415	1761
191	416	1754
192	419	1752
193	421	1749
194	431	1782
195	457	1878
196	459	1872
197	460	1866
198	462	1861
199	463	1855
200	465	1850
201	486	1920
202	487	1913
203	489	1909
204	490	1902
205	492	1898
206	494	1892
207	495	1885
208	496	1877
209	497	1871
210	498	1864
211	499	1856
212	500	1850
213	501	1843
214	502	1835
215	505	1833
216	507	1829
217	508	1822
218	509	1815
219	510	1809
220	511	1802
221	512	1794
222	513	1787
223	514	1780
224	515	1776
225	517	1772
226	518	1765
227	519	1760
228	520	1753
229	521	1746
230	523	1743
231	524	1736
232	525	1729
233	526	1723
234	528	1720
235	529	1715
236	531	1710
237	532	1703
238	533	1697
239	534	1691
240	535	1686
241	536	1680
242	537	1673
243	538	1668
244	540	1664
245	541	1660
246	543	1656
247	544	1650
248	545	1644
249	547	1641
250	548	1636
251	549	1630
252	550	1626
253	553	1625
254	555	1623
255	556	1617
256	557	1611
257	558	1607
258	559	1601
259	560	1595
260	561	1590
261	563	1585
262	564	1580
263	565	1576
264	567	1574
265	568	1569
266	569	1564
267	571	1560
268	572	1554
269	573	1549
270	573	1543
271	575	1539
272	576	1534
273	577	1530
274	579	1528
275	580	1523
276	581	1518
277	583	1514
278	584	1509
279	584	1504
280	585	1499
281	587	1495
282	588	1490
283	589	1486
284	592	1485
285	593	1480
286	593	1475
287	595	1471
288	596	1466
289	597	1462
290	598	1457
291	599	1453
292	600	1448
293	601	1445
294	604	1444
295	605	1440
296	606	1435
297	607	1431
298	608	1426
299	609	1422
300	610	1417
301	611	1413
302	612	1409
303	614	1406
304	617	1406
305	618	1401
306	619	1397
307	620	1393
308	621	1389
309	622	1385
310	623	1380
311	624	1377
312	625	1373
313	629	1375
314	631	1372
315	632	1369
316	634	1366
317	635	1362
318	636	1357
319	637	1354
320	638	1350
321	640	1349
322	642	1346
323	643	1342
324	644	1338
325	645	1334
326	646	1330
327	647	1326
328	648	1322
329	649	1319
330	651	1316
331	652	1313
332	654	1310
333	655	1306
334	656	1302
335	657	1298
336	658	1295
337	659	1291
338	660	1287
339	661	1283
340	662	1281
341	664	1278
342	665	1275
343	667	1272
344	668	1269
345	669	1265
346	670	1262
347	671	1258
348	672	1254
349	673	1251
350	678	1254
351	679	1251
352	681	1248
353	682	1245
354	684	1243
355	685	1239
356	686	1236
357	692	1241
358	693	1238
359	694	1235
360	695	1231
361	696	1228
362	698	1225
363	699	1221
364	700	1218
365	701	1215
366	703	1212
367	704	1209
368	705	1205
369	706	1203
370	707	1199
