iter	Passed	Remaining
0	150	150518
1	153	76748
2	155	51594
3	156	38959
4	158	31469
5	159	26476
6	161	22937
7	164	20432
8	166	18282
9	168	16725
10	170	15355
11	172	14207
12	175	13297
13	176	12425
14	177	11666
15	178	11002
16	180	10419
17	182	9974
18	184	9507
19	185	9085
20	186	8698
21	187	8346
22	189	8032
23	190	7741
24	191	7474
25	192	7229
26	194	6996
27	196	6820
28	197	6617
29	198	6430
30	200	6256
31	201	6095
32	202	5942
33	204	5797
34	205	5658
35	206	5526
36	207	5402
37	208	5287
38	211	5214
39	212	5108
40	214	5006
41	215	4910
42	216	4819
43	217	4733
44	219	4651
45	220	4572
46	221	4494
47	222	4418
48	225	4377
49	226	4308
50	228	4244
51	229	4181
52	230	4120
53	231	4061
54	233	4006
55	234	3949
56	235	3894
57	236	3847
58	240	3834
59	242	3797
60	244	3767
61	246	3727
62	247	3685
63	249	3643
64	250	3599
65	251	3558
66	252	3517
67	253	3479
68	256	3455
69	258	3428
70	259	3395
71	261	3364
72	262	3331
73	263	3298
74	264	3264
75	265	3233
76	267	3202
77	270	3199
78	273	3184
79	274	3155
80	275	3126
81	276	3098
82	277	3065
83	278	3039
84	280	3014
85	281	2989
86	282	2966
87	284	2944
88	285	2922
89	286	2900
90	287	2876
91	289	2853
92	290	2831
93	291	2811
94	292	2790
95	294	2770
96	295	2750
97	296	2730
98	299	2724
99	300	2705
100	301	2687
101	303	2670
102	304	2651
103	305	2633
104	306	2616
105	308	2598
106	309	2582
107	310	2566
108	311	2548
109	313	2534
110	314	2518
111	315	2502
112	316	2487
113	318	2472
114	319	2456
115	320	2442
116	321	2426
117	322	2412
118	324	2399
119	325	2385
120	328	2383
121	329	2368
122	330	2354
123	331	2340
124	332	2327
125	333	2314
126	334	2299
127	335	2286
128	336	2274
129	337	2261
130	339	2249
131	340	2238
132	343	2237
133	344	2226
134	345	2215
135	346	2204
136	348	2193
137	349	2183
138	350	2173
139	351	2162
140	353	2152
141	354	2140
142	357	2144
143	359	2137
144	362	2134
145	363	2126
146	364	2116
147	366	2107
148	367	2097
149	368	2087
150	369	2079
151	372	2077
152	373	2067
153	374	2058
154	375	2048
155	377	2039
156	378	2030
157	379	2021
158	380	2012
159	382	2005
160	382	1994
161	383	1986
162	385	1978
163	387	1977
164	389	1969
165	390	1961
166	391	1952
167	392	1945
168	394	1937
169	395	1929
170	396	1921
171	397	1914
172	398	1906
173	400	1899
174	402	1899
175	404	1891
176	405	1884
177	406	1877
178	407	1871
179	409	1863
180	410	1856
181	411	1848
182	412	1842
183	413	1834
184	414	1827
185	417	1827
186	418	1820
187	420	1814
188	421	1808
189	422	1801
190	423	1794
191	424	1787
192	426	1781
193	428	1778
194	433	1788
195	434	1784
196	439	1791
197	441	1786
198	443	1783
199	445	1780
200	447	1779
201	451	1781
202	452	1777
203	454	1774
204	456	1770
205	457	1765
206	459	1760
207	463	1766
208	465	1761
209	466	1756
210	468	1752
211	471	1752
212	490	1812
213	492	1807
214	497	1815
215	499	1811
216	500	1807
217	502	1801
218	515	1838
219	517	1834
220	518	1829
221	520	1823
222	521	1817
223	522	1810
224	523	1804
225	528	1809
226	529	1803
227	531	1801
228	533	1795
229	534	1788
230	535	1782
231	536	1776
232	537	1770
233	539	1764
234	545	1777
235	547	1773
236	549	1767
237	550	1761
238	551	1755
239	552	1749
240	553	1744
241	558	1749
242	560	1745
243	562	1741
244	563	1736
245	564	1730
246	565	1724
247	566	1718
248	568	1713
249	569	1708
250	573	1712
251	575	1708
252	577	1705
253	578	1700
254	580	1694
255	581	1689
256	582	1684
257	583	1679
258	585	1673
259	589	1678
260	591	1674
261	593	1671
262	594	1666
263	596	1661
264	597	1656
265	598	1651
266	599	1645
267	603	1647
268	604	1643
269	607	1641
270	608	1638
271	610	1633
272	611	1628
273	612	1622
274	613	1617
275	615	1613
276	617	1612
277	619	1607
278	620	1602
279	621	1598
280	622	1593
281	624	1588
282	625	1584
283	626	1579
284	627	1574
285	628	1569
286	629	1564
287	632	1564
288	633	1559
289	635	1554
290	636	1550
291	637	1545
292	638	1541
293	640	1537
294	641	1532
295	642	1528
296	643	1524
297	645	1519
298	647	1518
299	649	1514
300	650	1510
301	651	1505
302	652	1501
303	653	1497
304	655	1492
305	656	1488
306	657	1484
307	658	1480
308	660	1476
309	662	1475
310	664	1471
311	665	1466
312	666	1462
313	667	1458
314	668	1454
315	670	1450
316	671	1446
317	672	1442
318	674	1440
319	676	1436
320	677	1432
321	678	1428
322	679	1424
323	681	1420
324	682	1417
325	683	1413
326	684	1409
327	685	1405
328	687	1401
329	688	1398
330	691	1396
331	692	1393
332	693	1389
333	694	1385
334	696	1381
335	697	1377
336	698	1373
337	699	1370
338	701	1368
339	703	1364
340	704	1360
341	707	1360
342	709	1358
343	710	1355
344	712	1353
345	714	1350
346	715	1346
347	716	1342
348	717	1339
349	718	1335
350	721	1333
351	722	1330
352	723	1326
353	725	1323
354	726	1319
355	727	1316
356	728	1312
357	730	1309
358	731	1305
359	732	1301
360	733	1298
361	734	1294
362	737	1293
363	738	1290
364	739	1286
365	740	1283
366	742	1280
367	743	1277
368	744	1273
369	746	1270
370	747	1267
371	748	1263
372	749	1260
373	751	1257
374	752	1254
375	753	1251
376	755	1247
377	756	1244
378	757	1241
379	758	1237
380	759	1234
381	761	1231
382	762	1228
383	763	1224
384	764	1221
385	766	1218
386	767	1215
387	768	1212
388	770	1209
389	771	1206
390	772	1203
391	773	1199
392	774	1196
393	776	1193
394	777	1190
395	779	1189
396	780	1186
397	782	1182
398	783	1179
399	784	1177
400	786	1174
401	787	1171
402	788	1168
403	789	1165
404	791	1162
405	792	1159
406	794	1157
407	795	1154
408	796	1151
409	797	1148
410	799	1145
411	800	1142
412	801	1139
413	802	1136
414	803	1133
415	805	1130
416	806	1127
417	808	1125
418	810	1123
419	812	1122
420	813	1119
421	815	1116
422	816	1113
423	817	1110
424	819	1108
425	820	1105
426	821	1102
427	823	1100
428	824	1097
429	825	1094
430	826	1091
431	828	1089
432	829	1086
433	830	1083
434	831	1080
435	833	1077
436	834	1074
437	836	1073
438	838	1071
439	840	1069
440	841	1067
441	843	1064
442	845	1062
443	846	1060
444	848	1058
445	849	1055
446	852	1054
447	854	1052
448	856	1050
449	857	1048
450	859	1046
451	860	1043
452	861	1040
453	863	1038
454	864	1035
455	867	1034
456	868	1031
457	869	1029
458	870	1026
459	872	1023
460	873	1021
461	874	1018
462	875	1015
463	876	1013
464	878	1010
465	879	1007
466	881	1006
467	883	1004
468	885	1002
469	886	999
470	887	996
471	888	994
472	889	991
473	890	988
474	892	986
475	893	983
476	894	981
477	897	980
478	899	978
479	901	976
480	902	974
481	904	971
482	905	969
483	906	966
484	908	964
485	909	961
486	912	961
487	913	958
488	914	955
489	915	953
490	917	950
491	918	948
492	919	945
493	921	943
494	922	941
